Yeast_ORF,Human_ENSP,Human_Entrez,Human_Symbol,Human_GeneDescription,Final CompStatus,Final ToxStatus,Tet-down CompStatus,TS CompStatus,MM CompStatus,Tetrad CompStatus,Assay CompStatus,Lit CompStatus,Literature PMID,resolved_ensembl_gene_id,mapping_status,opentargets_status,ot_n_associated_diseases_total,ot_top_diseases,ot_top_datatypes,ot_top_datasources,disease_relevance_paragraph,opentargets_target_url,mapping_source_url,subcellular_localisation,opentargets_query_ok,notes
YDR292C,ENSP00000328023,6734,SRPR,signal recognition particle receptor (docking protein),Complement,Toxic,,Complement,Non complement,,Complement,,,ENSG00000182934,OK,OK,180.0,severe congenital neutropenia (0.379); Shwachman-Diamond syndrome (0.333); lymphatic system disease (0.099),genetic_association (1.257); genetic_literature (0.304),eva (1.094); genomics_england (0.304),SRPR shows the strongest Open Targets disease associations with severe congenital neutropenia (score 0.379) and Shwachman-Diamond syndrome (score 0.333). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include eva and genomics_england.,https://platform.opentargets.org/target/ENSG00000182934,https://mygene.info/v3/gene/6734,signal recognition particle receptor complex; endoplasmic reticulum membrane; membrane; extracellular exosome,True,
YDR302W,ENSP00000281382,5281,PIGF,"phosphatidylinositol glycan anchor biosynthesis, class F",Complement,,,Complement,Complement,,Complement,Complement,10793139,ENSG00000151665,OK,OK,178.0,"onychodystrophy, osteodystrophy, impaired intellectual development, and seizures syndrome (0.502); neurodegenerative disease (0.358); Rothmund-Thomson syndrome type 3 (0.340)",genetic_association (1.165); affected_pathway (0.589),eva (1.155); uniprot_literature (0.608),"PIGF shows the strongest Open Targets disease associations with onychodystrophy, osteodystrophy, impaired intellectual development, and seizures syndrome (score 0.502) and neurodegenerative disease (score 0.358). Evidence is driven primarily by genetic_association and affected_pathway. Top contributing sources include eva and uniprot_literature.",https://platform.opentargets.org/target/ENSG00000151665,https://mygene.info/v3/gene/5281,endoplasmic reticulum membrane,True,
YDR373W,ENSP00000470938,23413,NCS1,neuronal calcium sensor 1,Complement,,,Complement,,,Complement,Complement,14512421,ENSG00000107130,OK,OK,141.0,alcohol drinking (0.307); neurodegenerative disease (0.283); insomnia (0.274),genetic_association (0.955); affected_pathway (0.464),gwas_credible_sets (0.955); crispr_screen (0.464),NCS1 shows the strongest Open Targets disease associations with alcohol drinking (score 0.307) and neurodegenerative disease (score 0.283). Evidence is driven primarily by genetic_association and affected_pathway. Top contributing sources include gwas_credible_sets and crispr_screen.,https://platform.opentargets.org/target/ENSG00000107130,https://mygene.info/v3/gene/23413,cytoplasm; Golgi apparatus; plasma membrane; postsynaptic density; membrane,True,
YDR394W,ENSP00000157812,5704,PSMC4,"proteasome (prosome, macropain) 26S subunit, ATPase, 4",Complement,Toxic,,Complement,Complement,Non complement,Complement,,,ENSG00000281221,OK,OT_NO_DATA,,,,,Open Targets does not report target–disease associations for PSMC4 in the queried dataset.,https://platform.opentargets.org/target/ENSG00000281221,https://mygene.info/v3/gene/5704,proteasome complex; nucleus; nucleoplasm; cytoplasm; cytosol,False,
YDR404C,ENSP00000301788,5436,POLR2G,polymerase (RNA) II (DNA directed) polypeptide G,Complement,,,,Complement,,Complement,Complement,7579693,ENSG00000168002,OK,OK,17.0,HIV infection (0.600); acrocephalosyndactyly (0.370); influenza (0.370),affected_pathway (2.203),reactome (2.203),POLR2G shows the strongest Open Targets disease associations with HIV infection (score 0.600) and acrocephalosyndactyly (score 0.370). Evidence is driven primarily by affected_pathway. Top contributing sources include reactome.,https://platform.opentargets.org/target/ENSG00000168002,https://mygene.info/v3/gene/5436,"DNA-directed RNA polymerase complex; P-body; nucleus; nucleoplasm; RNA polymerase II, core complex",True,
YDR427W,ENSP00000396937,5719,PSMD13,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 13",Complement,,,,Complement,Complement,Complement,,,ENSG00000185627,OK,OK,67.0,neurodegenerative disease (0.521); HIV infection (0.462); uterine fibroid (0.305),affected_pathway (1.617); genetic_association (0.502),crispr_screen (0.857); reactome (0.760),PSMD13 shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.521) and HIV infection (score 0.462). Evidence is driven primarily by affected_pathway and genetic_association. Top contributing sources include crispr_screen and reactome.,https://platform.opentargets.org/target/ENSG00000185627,https://mygene.info/v3/gene/5719,proteasome complex; extracellular region; nucleus; nucleoplasm; cytosol,True,
YDR429C,ENSP00000253108,8666,EIF3G,"eukaryotic translation initiation factor 3, subunit G",Complement,,Complement,,Complement,Complement,Complement,,,ENSG00000130811,OK,OK,37.0,narcolepsy-cataplexy syndrome (0.449); neurodegenerative disease (0.130); diabetic ketoacidosis (0.099),genetic_association (0.753); affected_pathway (0.213),eva (0.684); gwas_credible_sets (0.380),EIF3G shows the strongest Open Targets disease associations with narcolepsy-cataplexy syndrome (score 0.449) and neurodegenerative disease (score 0.130). Evidence is driven primarily by genetic_association and affected_pathway. Top contributing sources include eva and gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000130811,https://mygene.info/v3/gene/8666,nucleus; cytoplasm; cytosol; eukaryotic translation initiation factor 3 complex; eukaryotic 43S preinitiation complex,True,
YDR460W,ENSP00000261245,4331,MNAT1,MNAT CDK-activating kinase assembly factor 1,Complement,,Complement,Complement,,,Complement,,,ENSG00000020426,OK,OK,293.0,HIV infection (0.594); neurodegenerative disease (0.342); jaw disease (0.300),affected_pathway (1.536); genetic_association (0.493),reactome (0.975); crispr_screen (0.561),MNAT1 shows the strongest Open Targets disease associations with HIV infection (score 0.594) and neurodegenerative disease (score 0.342). Evidence is driven primarily by affected_pathway and genetic_association. Top contributing sources include reactome and crispr_screen.,https://platform.opentargets.org/target/ENSG00000020426,https://mygene.info/v3/gene/4331,cyclin-dependent protein kinase holoenzyme complex; transcription factor TFIIH core complex; nucleus; nucleoplasm; transcription factor TFIIH holo complex,True,
YDR510W,ENSP00000405965,7341,SUMO1,small ubiquitin-like modifier 1,Complement,,,Complement,Complement,,Complement,Complement,10364461,ENSG00000116030,OK,OK,296.0,orofacial cleft 10 (0.421); COVID-19 (0.374); severe acute respiratory syndrome (0.370),affected_pathway (1.216); genetic_literature (0.488),reactome (1.216); uniprot_literature (0.608),SUMO1 shows the strongest Open Targets disease associations with orofacial cleft 10 (score 0.421) and COVID-19 (score 0.374). Evidence is driven primarily by affected_pathway and genetic_literature. Top contributing sources include reactome and uniprot_literature.,https://platform.opentargets.org/target/ENSG00000116030,https://mygene.info/v3/gene/7341,XY body; nucleus; nuclear pore; nucleoplasm; nucleolus,True,
YEL002C,ENSP00000364188,1650,DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic),Complement,,Complement,,Non complement,,Complement,,,ENSG00000244038,OK,OK,164.0,DDOST-congenital disorder of glycosylation (0.741); neurodegenerative disease (0.542); congenital disorder of glycosylation (0.417),genetic_literature (1.379); genetic_association (1.077),gene2phenotype (1.216); eva (1.136),DDOST shows the strongest Open Targets disease associations with DDOST-congenital disorder of glycosylation (score 0.741) and neurodegenerative disease (score 0.542). Evidence is driven primarily by genetic_literature and genetic_association. Top contributing sources include gene2phenotype and eva.,https://platform.opentargets.org/target/ENSG00000244038,https://mygene.info/v3/gene/1650,endoplasmic reticulum; endoplasmic reticulum membrane; plasma membrane; oligosaccharyltransferase complex; membrane,True,
YEL026W,ENSP00000383989,4809,NHP2L1,NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae),Complement,,,,Complement,,Complement,,,ENSG00000100138,OK,OK,58.0,atrial fibrillation (0.131); bladder calculus (0.062); acute lymphoblastic leukemia (0.051),literature (0.419); genetic_association (0.318),europepmc (0.419); gwas_credible_sets (0.318),NHP2L1 shows the strongest Open Targets disease associations with atrial fibrillation (score 0.131) and bladder calculus (score 0.062). Evidence is driven primarily by literature and genetic_association. Top contributing sources include europepmc and gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000100138,https://mygene.info/v3/gene/4809,dense fibrillar component; nucleus; nucleoplasm; spliceosomal complex; U4 snRNP,True,
YEL058W,ENSP00000425809,5238,PGM3,phosphoglucomutase 3,Complement,,,,Complement,,Complement,,,ENSG00000013375,OK,OK,371.0,immunodeficiency 23 (0.840); severe combined immunodeficiency (0.511); Combined immunodeficiency (0.464),genetic_association (1.751); genetic_literature (1.609),eva (1.780); genomics_england (1.711),PGM3 shows the strongest Open Targets disease associations with immunodeficiency 23 (score 0.840) and severe combined immunodeficiency (score 0.511). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include eva and genomics_england.,https://platform.opentargets.org/target/ENSG00000013375,https://mygene.info/v3/gene/5238,cytosol,True,
YER012W,ENSP00000362334,5690,PSMB2,"proteasome (prosome, macropain) subunit, beta type, 2",Complement,Toxic,Complement,Non complement,Complement,Complement,Complement,,,ENSG00000126067,OK,OK,102.0,HIV infection (0.462); glioblastoma multiforme (0.279); joint disease (0.243),affected_pathway (0.760); known_drug (0.456),reactome (0.760); chembl (0.456),PSMB2 shows the strongest Open Targets disease associations with HIV infection (score 0.462) and glioblastoma multiforme (score 0.279). Evidence is driven primarily by affected_pathway and known_drug. Top contributing sources include reactome and chembl.,https://platform.opentargets.org/target/ENSG00000126067,https://mygene.info/v3/gene/5690,proteasome complex; nucleus; nucleoplasm; cytoplasm; cytosol,True,
YER036C,ENSP00000222388,10061,ABCF2,"ATP-binding cassette, sub-family F (GCN20), member 2",Complement,,,,Complement,Non complement,Complement,,,ENSG00000033050,OK,OK,39.0,Abnormality of the skeletal system (0.176); smoking initiation (0.162); neurodegenerative disease (0.158),genetic_association (0.557); affected_pathway (0.260),gwas_credible_sets (0.557); crispr_screen (0.260),ABCF2 shows the strongest Open Targets disease associations with Abnormality of the skeletal system (score 0.176) and smoking initiation (score 0.162). Evidence is driven primarily by genetic_association and affected_pathway. Top contributing sources include gwas_credible_sets and crispr_screen.,https://platform.opentargets.org/target/ENSG00000033050,https://mygene.info/v3/gene/10061,cytosol; plasma membrane; membrane,True,
YER094C,ENSP00000225426,5691,PSMB3,"proteasome (prosome, macropain) subunit, beta type, 3",Complement,,,,Complement,Complement,Complement,,,ENSG00000277791,OK,OK,129.0,HIV infection (0.462); neurodegenerative disease (0.381); glioblastoma multiforme (0.280),affected_pathway (1.385); known_drug (0.456),reactome (0.760); crispr_screen (0.626),PSMB3 shows the strongest Open Targets disease associations with HIV infection (score 0.462) and neurodegenerative disease (score 0.381). Evidence is driven primarily by affected_pathway and known_drug. Top contributing sources include reactome and crispr_screen.,https://platform.opentargets.org/target/ENSG00000277791,https://mygene.info/v3/gene/5691,proteasome complex; nucleus; nucleoplasm; cytoplasm; cytosol,True,
YER112W,ENSP00000469468,25804,LSM4,"LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)",Complement,,,,Complement,,Complement,,,ENSG00000130520,OK,OK,53.0,neurodegenerative disease (0.522); metabolic syndrome (0.247); hypertension (0.171),affected_pathway (0.859); genetic_association (0.688),crispr_screen (0.859); gwas_credible_sets (0.688),LSM4 shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.522) and metabolic syndrome (score 0.247). Evidence is driven primarily by affected_pathway and genetic_association. Top contributing sources include crispr_screen and gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000130520,https://mygene.info/v3/gene/25804,P-body; nucleus; nucleoplasm; spliceosomal complex; U6 snRNP,True,
YER146W,ENSP00000410758,23658,LSM5,"LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)",Complement,,Complement,,Complement,Complement,Complement,,,ENSG00000106355,OK,OK,48.0,neurodegenerative disease (0.499); intelligence (0.281); food allergy (0.250),genetic_association (0.873); affected_pathway (0.820),gwas_credible_sets (0.873); crispr_screen (0.820),LSM5 shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.499) and intelligence (score 0.281). Evidence is driven primarily by genetic_association and affected_pathway. Top contributing sources include gwas_credible_sets and crispr_screen.,https://platform.opentargets.org/target/ENSG00000106355,https://mygene.info/v3/gene/23658,nucleus; nucleoplasm; spliceosomal complex; U6 snRNP; U6atac snRNP,True,
YER168C,ENSP00000251607,51095,TRNT1,"tRNA nucleotidyl transferase, CCA-adding, 1",Complement,Toxic,,Complement,Complement,Complement,Complement,,,ENSG00000072756,OK,OK,149.0,congenital sideroblastic anemia-B-cell immunodeficiency-periodic fever-developmental delay syndrome (0.837); retinitis pigmentosa and erythrocytic microcytosis (0.766); Retinal dystrophy (0.527),genetic_association (2.586); genetic_literature (1.677),eva (2.647); genomics_england (1.843),TRNT1 shows the strongest Open Targets disease associations with congenital sideroblastic anemia-B-cell immunodeficiency-periodic fever-developmental delay syndrome (score 0.837) and retinitis pigmentosa and erythrocytic microcytosis (score 0.766). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include eva and genomics_england.,https://platform.opentargets.org/target/ENSG00000072756,https://mygene.info/v3/gene/51095,nucleus; nucleoplasm; cytoplasm; mitochondrion; mitochondrial matrix,True,
YER171W,ENSP00000375809,2068,ERCC2,excision repair cross-complementation group 2,Complement,,Non complement,Complement,,,Complement,Complement,"7629061, 8413672",ENSG00000104884,OK,OK,687.0,"trichothiodystrophy 1, photosensitive (0.823); cerebrooculofacioskeletal syndrome 2 (0.796); xeroderma pigmentosum group D (0.772)",genetic_association (2.791); genetic_literature (2.474),eva (2.804); genomics_england (2.709),"ERCC2 shows the strongest Open Targets disease associations with trichothiodystrophy 1, photosensitive (score 0.823) and cerebrooculofacioskeletal syndrome 2 (score 0.796). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include eva and genomics_england.",https://platform.opentargets.org/target/ENSG00000104884,https://mygene.info/v3/gene/2068,transcription factor TFIIH core complex; nucleus; nucleoplasm; transcription factor TFIID complex; transcription factor TFIIH holo complex,True,
YFL017C,ENSP00000216410,64841,GNPNAT1,glucosamine-phosphate N-acetyltransferase 1,Complement,,,Complement,Complement,Complement,Complement,,,ENSG00000100522,OK,OK,79.0,"rhizomelic dysplasia, Ain-Naz type (0.502); endocarditis (0.300); chronic fatigue syndrome (0.298)",genetic_association (1.589); genetic_literature (0.608),gwas_credible_sets (0.983); uniprot_literature (0.608),"GNPNAT1 shows the strongest Open Targets disease associations with rhizomelic dysplasia, Ain-Naz type (score 0.502) and endocarditis (score 0.300). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include gwas_credible_sets and uniprot_literature.",https://platform.opentargets.org/target/ENSG00000100522,https://mygene.info/v3/gene/64841,Golgi membrane; cytoplasm; late endosome; endoplasmic reticulum-Golgi intermediate compartment; Golgi apparatus,True,
YFR004W,ENSP00000386541,10213,PSMD14,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14",Complement,,Non complement,Complement,Complement,,Complement,,,ENSG00000115233,OK,OK,156.0,neurodegenerative disease (0.482); HIV infection (0.462); lysosomal storage disease (0.319),affected_pathway (2.077),crispr_screen (1.318); reactome (0.760),PSMD14 shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.482) and HIV infection (score 0.462). Evidence is driven primarily by affected_pathway. Top contributing sources include crispr_screen and reactome.,https://platform.opentargets.org/target/ENSG00000115233,https://mygene.info/v3/gene/10213,proteasome complex; extracellular region; nucleus; nucleoplasm; cytosol,True,
YGL001C,ENSP00000359297,50814,NSDHL,NAD(P) dependent steroid dehydrogenase-like,Complement,,Complement,Complement,Complement,Complement,Complement,,,ENSG00000147383,OK,OK,356.0,CHILD syndrome (0.812); CK syndrome (0.783); neurodegenerative disease (0.404),genetic_literature (1.679); genetic_association (1.599),genomics_england (1.878); eva (1.682),NSDHL shows the strongest Open Targets disease associations with CHILD syndrome (score 0.812) and CK syndrome (score 0.783). Evidence is driven primarily by genetic_literature and genetic_association. Top contributing sources include genomics_england and eva.,https://platform.opentargets.org/target/ENSG00000147383,https://mygene.info/v3/gene/50814,endoplasmic reticulum; endoplasmic reticulum membrane; lipid droplet,True,
YGL011C,ENSP00000452603,5687,PSMA6,"proteasome (prosome, macropain) subunit, alpha type, 6",Complement,,,,Complement,,Complement,,,ENSG00000100902,OK,OK,654.0,HIV infection (0.462); Crohn's disease (0.322); ovarian dysfunction (0.306),genetic_association (1.031); affected_pathway (0.760),gwas_credible_sets (1.031); reactome (0.760),PSMA6 shows the strongest Open Targets disease associations with HIV infection (score 0.462) and Crohn's disease (score 0.322). Evidence is driven primarily by genetic_association and affected_pathway. Top contributing sources include gwas_credible_sets and reactome.,https://platform.opentargets.org/target/ENSG00000100902,https://mygene.info/v3/gene/5687,proteasome complex; P-body; nucleus; nucleoplasm; cytoplasm,True,
YGL018C,ENSP00000216027,150274,HSCB,HscB mitochondrial iron-sulfur cluster co-chaperone,Complement,,,,Complement,Complement,Complement,,,ENSG00000100209,OK,OK,76.0,X-linked sideroblastic anemia 1 (0.534); neurodegenerative disease (0.521); atrial fibrillation (0.313),genetic_association (1.240); affected_pathway (0.856),crispr_screen (0.856); eva (0.725),HSCB shows the strongest Open Targets disease associations with X-linked sideroblastic anemia 1 (score 0.534) and neurodegenerative disease (score 0.521). Evidence is driven primarily by genetic_association and affected_pathway. Top contributing sources include crispr_screen and eva.,https://platform.opentargets.org/target/ENSG00000100209,https://mygene.info/v3/gene/150274,cytoplasm; mitochondrion; cytosol,True,
YGL030W,ENSP00000428085,6156,RPL30,ribosomal protein L30,Complement,,,,Complement,,Complement,,,ENSG00000156482,OK,OK,80.0,Duchenne muscular dystrophy (0.504); influenza (0.462); cystic fibrosis (0.380),known_drug (1.453); affected_pathway (0.760),chembl (1.453); reactome (0.760),RPL30 shows the strongest Open Targets disease associations with Duchenne muscular dystrophy (score 0.504) and influenza (score 0.462). Evidence is driven primarily by known_drug and affected_pathway. Top contributing sources include chembl and reactome.,https://platform.opentargets.org/target/ENSG00000156482,https://mygene.info/v3/gene/6156,nucleus; cytoplasm; cytosol; ribosome; focal adhesion,True,
YGL048C,ENSP00000310572,5705,PSMC5,"proteasome (prosome, macropain) 26S subunit, ATPase, 5",Complement,,Complement,Complement,Complement,,Complement,Complement,7870181,ENSG00000087191,OK,OK,128.0,Neurodevelopmental disorder (0.483); HIV infection (0.462); Intellectual disability (0.371),genetic_literature (1.155); affected_pathway (0.760),genomics_england (1.216); reactome (0.760),PSMC5 shows the strongest Open Targets disease associations with Neurodevelopmental disorder (score 0.483) and HIV infection (score 0.462). Evidence is driven primarily by genetic_literature and affected_pathway. Top contributing sources include genomics_england and reactome.,https://platform.opentargets.org/target/ENSG00000087191,https://mygene.info/v3/gene/5705,proteasome complex; nucleus; nucleoplasm; cytoplasm; cytosol,True,
YGL068W,ENSP00000333837,6182,MRPL12,mitochondrial ribosomal protein L12,Complement,,Non complement,,Complement,Non complement,Complement,,,ENSG00000262814,OK,OK,37.0,combined oxidative phosphorylation deficiency 45 (0.399); neurodegenerative disease (0.380); lung adenocarcinoma (0.095),literature (0.781); affected_pathway (0.625),europepmc (0.781); crispr_screen (0.625),MRPL12 shows the strongest Open Targets disease associations with combined oxidative phosphorylation deficiency 45 (score 0.399) and neurodegenerative disease (score 0.380). Evidence is driven primarily by literature and affected_pathway. Top contributing sources include europepmc and crispr_screen.,https://platform.opentargets.org/target/ENSG00000262814,https://mygene.info/v3/gene/6182,mitochondrion; mitochondrial inner membrane; mitochondrial matrix; mitochondrial large ribosomal subunit; ribosome,True,
YGL103W,ENSP00000346015,6157,RPL27A,ribosomal protein L27a,Complement,,,,Complement,,Complement,,,ENSG00000166441,OK,OK,94.0,Duchenne muscular dystrophy (0.503); influenza (0.462); cystic fibrosis (0.380),known_drug (1.453); affected_pathway (0.760),chembl (1.453); reactome (0.760),RPL27A shows the strongest Open Targets disease associations with Duchenne muscular dystrophy (score 0.503) and influenza (score 0.462). Evidence is driven primarily by known_drug and affected_pathway. Top contributing sources include chembl and reactome.,https://platform.opentargets.org/target/ENSG00000166441,https://mygene.info/v3/gene/6157,nucleoplasm; cytoplasm; endoplasmic reticulum; cytosol; ribosome,True,
YGL120C,ENSP00000336741,1665,DHX15,DEAH (Asp-Glu-Ala-His) box helicase 15,Complement,,Non complement,Complement,,,Complement,,,ENSG00000109606,OK,OK,154.0,Parkinson disease (0.460); Alzheimer disease (0.452); neurodegenerative disease (0.451),affected_pathway (2.227); genetic_association (0.057),crispr_screen (2.227); gwas_credible_sets (0.057),DHX15 shows the strongest Open Targets disease associations with Parkinson disease (score 0.460) and Alzheimer disease (score 0.452). Evidence is driven primarily by affected_pathway and genetic_association. Top contributing sources include crispr_screen and gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000109606,https://mygene.info/v3/gene/1665,nucleus; nucleoplasm; spliceosomal complex; U12-type spliceosomal complex; nucleolus,True,
YGR024C,ENSP00000231198,54974,THG1L,tRNA-histidine guanylyltransferase 1-like (S. cerevisiae),Complement,,,,Complement,,Complement,,,ENSG00000113272,OK,OK,104.0,"spinocerebellar ataxia, autosomal recessive 28 (0.559); Neurodevelopmental disorder (0.407); genetic disorder (0.191)",genetic_association (1.633); genetic_literature (0.535),eva (1.644); uniprot_variants (0.608),"THG1L shows the strongest Open Targets disease associations with spinocerebellar ataxia, autosomal recessive 28 (score 0.559) and Neurodevelopmental disorder (score 0.407). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include eva and uniprot_variants.",https://platform.opentargets.org/target/ENSG00000113272,https://mygene.info/v3/gene/54974,cytoplasm; mitochondrion; mitochondrial outer membrane; cytosol; transferase complex,True,
YGR048W,ENSP00000263202,7353,UFD1L,ubiquitin fusion degradation 1 like (yeast),Complement,,,,Complement,,Complement,,,ENSG00000070010,OK,OK,46.0,alcohol drinking (0.282); infection (0.080); acute lymphoblastic leukemia (0.075),literature (1.280); genetic_association (0.463),europepmc (1.280); gwas_credible_sets (0.463),UFD1L shows the strongest Open Targets disease associations with alcohol drinking (score 0.282) and infection (score 0.080). Evidence is driven primarily by literature and genetic_association. Top contributing sources include europepmc and gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000070010,https://mygene.info/v3/gene/7353,nucleus; nucleoplasm; cytoplasm; cytosol; VCP-NPL4-UFD1 AAA ATPase complex,True,
YGR060W,ENSP00000261507,6307,MSMO1,methylsterol monooxygenase 1,Complement,,Complement,,Non complement,,Complement,,,ENSG00000052802,OK,OK,113.0,microcephaly-congenital cataract-psoriasiform dermatitis syndrome (0.800); neurodegenerative disease (0.437); adolescent idiopathic scoliosis (0.308),genetic_association (1.306); genetic_literature (0.890),genomics_england (0.961); uniprot_variants (0.827),MSMO1 shows the strongest Open Targets disease associations with microcephaly-congenital cataract-psoriasiform dermatitis syndrome (score 0.800) and neurodegenerative disease (score 0.437). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include genomics_england and uniprot_variants.,https://platform.opentargets.org/target/ENSG00000052802,https://mygene.info/v3/gene/6307,endoplasmic reticulum; endoplasmic reticulum membrane; plasma membrane; membrane,True,
YGR074W,ENSP00000300413,6632,SNRPD1,small nuclear ribonucleoprotein D1 polypeptide 16kDa,Complement,Toxic,,,Complement,Complement,Complement,Complement,8346029,ENSG00000167088,OK,OK,64.0,neurodegenerative disease (0.483); liver disease (0.099); breast cancer (0.089),affected_pathway (0.794); literature (0.729),crispr_screen (0.794); europepmc (0.729),SNRPD1 shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.483) and liver disease (score 0.099). Evidence is driven primarily by affected_pathway and literature. Top contributing sources include crispr_screen and europepmc.,https://platform.opentargets.org/target/ENSG00000167088,https://mygene.info/v3/gene/6632,commitment complex; nucleus; nucleoplasm; spliceosomal complex; U5 snRNP,True,
YGR090W,ENSP00000297990,65083,NOL6,nucleolar protein 6 (RNA-associated),Complement,,,,Complement,,Complement,,,ENSG00000165271,OK,OK,21.0,hidradenitis (0.125); response to xenobiotic stimulus (0.120); neurodegenerative disease (0.119),genetic_association (0.404); affected_pathway (0.196),gwas_credible_sets (0.404); crispr_screen (0.196),NOL6 shows the strongest Open Targets disease associations with hidradenitis (score 0.125) and response to xenobiotic stimulus (score 0.120). Evidence is driven primarily by genetic_association and affected_pathway. Top contributing sources include gwas_credible_sets and crispr_screen.,https://platform.opentargets.org/target/ENSG00000165271,https://mygene.info/v3/gene/65083,condensed nuclear chromosome; nucleoplasm; chromosome; nucleolus; small-subunit processome,True,
YGR172C,ENSP00000274496,81555,YIPF5,"Yip1 domain family, member 5",Complement,,,Complement,Complement,Complement,Complement,,,ENSG00000145817,OK,OK,59.0,"microcephaly, epilepsy, and diabetes syndrome 1 (0.728); microcephaly, epilepsy, and diabetes syndrome 2 (0.526); Abnormality of refraction (0.322)",genetic_literature (1.679); genetic_association (1.284),genomics_england (1.731); eva (0.806),"YIPF5 shows the strongest Open Targets disease associations with microcephaly, epilepsy, and diabetes syndrome 1 (score 0.728) and microcephaly, epilepsy, and diabetes syndrome 2 (score 0.526). Evidence is driven primarily by genetic_literature and genetic_association. Top contributing sources include genomics_england and eva.",https://platform.opentargets.org/target/ENSG00000145817,https://mygene.info/v3/gene/81555,endoplasmic reticulum; endoplasmic reticulum membrane; Golgi apparatus; trans-Golgi network; endomembrane system,True,
YGR175C,ENSP00000265896,6713,SQLE,squalene epoxidase,Complement,Toxic,Non complement,,Complement,,Complement,,,ENSG00000104549,OK,OK,248.0,neurodegenerative disease (0.524); Alzheimer disease (0.437); multiple sclerosis (0.435),affected_pathway (2.291); literature (0.068),crispr_screen (2.291); europepmc (0.068),SQLE shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.524) and Alzheimer disease (score 0.437). Evidence is driven primarily by affected_pathway and literature. Top contributing sources include crispr_screen and europepmc.,https://platform.opentargets.org/target/ENSG00000104549,https://mygene.info/v3/gene/6713,endoplasmic reticulum; endoplasmic reticulum membrane; membrane; intracellular membrane-bounded organelle; cytoplasmic side of endoplasmic reticulum membrane,True,
YGR185C,ENSP00000362576,8565,YARS,tyrosyl-tRNA synthetase,Complement,,,Complement,Complement,,Complement,,,ENSG00000134684,OK,OK,114.0,"neurologic, endocrine, and pancreatic disease, multisystem, infantile-onset 2 (0.703); Autosomal dominant intermediate Charcot-Marie-Tooth disease type C (0.636); Charcot-Marie-Tooth disease dominant intermediate C (0.548)",genetic_association (2.555); genetic_literature (1.216),eva (1.773); uniprot_variants (1.693),"YARS shows the strongest Open Targets disease associations with neurologic, endocrine, and pancreatic disease, multisystem, infantile-onset 2 (score 0.703) and Autosomal dominant intermediate Charcot-Marie-Tooth disease type C (score 0.636). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include eva and uniprot_variants.",https://platform.opentargets.org/target/ENSG00000134684,https://mygene.info/v3/gene/8565,extracellular space; nucleus; cytoplasm; cytosol; nuclear body,True,
YGR195W,ENSP00000457865,54512,EXOSC4,exosome component 4,Complement,,Complement,,Non complement,,Complement,,,ENSG00000178896,OK,OK,42.0,neurodegenerative disease (0.522); edema (0.106); interstitial lung disease (0.074),affected_pathway (0.859); literature (0.608),crispr_screen (0.859); europepmc (0.608),EXOSC4 shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.522) and edema (score 0.106). Evidence is driven primarily by affected_pathway and literature. Top contributing sources include crispr_screen and europepmc.,https://platform.opentargets.org/target/ENSG00000178896,https://mygene.info/v3/gene/54512,nuclear exosome (RNase complex); cytoplasmic exosome (RNase complex); exosome (RNase complex); euchromatin; nucleus,True,
